Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2030.59216,440.0660982,1991.497983,343.229766,0.203792589,0.462420707
2030.633862,440.1784228,1991.823853,343.2730226,0.20371984,0.462249958
2030.675563,440.2907967,1992.149676,343.3162926,0.203647091,0.462079061
2030.717264,440.4032199,1992.475451,343.3595761,0.203574343,0.461908017
2030.758966,440.5156926,1992.80118,343.4028731,0.203501594,0.461736826
2030.800667,440.6282145,1993.12686,343.4461835,0.203428845,0.461565487
2030.842369,440.7407859,1993.452494,343.4895074,0.203356096,0.461394001
2030.88407,440.8534066,1993.77808,343.5328448,0.203283347,0.461222368
2030.925771,440.9660768,1994.10362,343.5761956,0.203210598,0.461050588
2030.967473,441.0787964,1994.429112,343.6195599,0.203137849,0.460878661
2031.009174,441.1915654,1994.754557,343.6629377,0.2030651,0.460706588
2031.050876,441.3043839,1995.079955,343.7063289,0.202992351,0.460534367
2031.092577,441.4172519,1995.405306,343.7497337,0.202919603,0.460362
2031.134279,441.5301693,1995.730611,343.7931518,0.202846854,0.460189486
2031.17598,441.6431363,1996.055868,343.8365835,0.202774105,0.460016825
2031.217681,441.7561528,1996.381079,343.8800286,0.202701356,0.459844018
2031.259383,441.8692187,1996.706243,343.9234872,0.202628607,0.459671065
2031.301084,441.9823343,1997.03136,343.9669593,0.202555858,0.459497965
2031.342786,442.0954994,1997.35643,344.0104448,0.202483109,0.459324719
2031.384487,442.2087141,1997.681454,344.0539438,0.20241036,0.459151327
2031.426188,442.3219783,1998.006431,344.0974563,0.202337611,0.458977789
2031.46789,442.4352922,1998.331362,344.1409823,0.202264863,0.458804104
2031.509591,442.5486557,1998.656247,344.1845217,0.202192114,0.458630274
2031.551293,442.6620688,1998.981085,344.2280746,0.202119365,0.458456298
2031.592994,442.7755316,1999.305876,344.271641,0.202046616,0.458282176
2031.634696,442.8890441,1999.630621,344.3152209,0.201973867,0.458107909
2031.676397,443.0026062,1999.95532,344.3588142,0.201901118,0.457933495
2031.718098,443.116218,2000.279973,344.4024211,0.201828369,0.457758937
